Dataset_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
1,144,8,12,"8, 9,11,13,16,17,18","12, 1, 2, 3, 4, 5, 6, 7,10,14,15,19,20",1050,1950,62.16,117.718,987.84,1832.282,3000,2820.122,1410.061,7,13,"0,78,98.5,136.7,185.9,212.7,238.8,310.8","0,21,118,171,238,280,314,331,358,400,448,497.2,529.59,588.59"
1,145,8,13,"8,12,14,15,16","13, 1, 2, 3, 4, 5, 6, 7, 9,10,11,17,18,19,20",750,2250,43.16,165.098,706.84,2084.902,3000,2791.742,1395.871,5,15,"0,24,47,95,169.8,215.8","0,71,168,221,288,330,364,381,423,490.1,549.7,574,600.1,687.1,719.49,825.49"
1,146,8,14,"8, 2, 3, 4,12,15,19,20","14, 1, 5, 6, 7, 9,10,11,13,16,17,18",1200,1800,90.118,100.2,1109.882,1699.8,3000,2809.682,1404.841,8,12,"0,95,148,215,252,312,361.2,393.59,450.59","0,43,92,126,143,185,252.1,311.7,349.9,399.1,425.9,452,501"
1,147,8,15,"8, 9,11,13,16,17,18","15, 1, 2, 3, 4, 5, 6, 7,10,12,14,19,20",1050,1950,62.16,121.158,987.84,1828.842,3000,2816.682,1408.341,7,13,"0,78,98.5,136.7,185.9,212.7,238.8,310.8","0,79,176,229,296,338,372,389,416,481,504,556.4,588.79,605.79"
1,148,8,16,"8,12,14,15","16, 1, 2, 3, 4, 5, 6, 7, 9,10,11,13,17,18,19,20",600,2400,29.4,159.778,570.6,2240.222,3000,2810.822,1405.411,4,16,"0,24,47,95,147","0,28,125,178,245,287,321,338,380,447.1,506.7,544.9,584.3,610.4,697.4,729.79,798.89"
1,149,8,17,"8,10,19,20","17, 1, 2, 3, 4, 5, 6, 7, 9,11,12,13,14,15,16,18",600,2400,34.378,209.2,565.622,2190.8,3000,2756.422,1378.211,4,16,"0,72.5,82.5,114.89,171.89","0,55,152,205,272,314,348,365,407,427.5,495.5,567.1,636.1,684.1,758.9,1019.9,1046"
1,150,8,18,"8, 1, 4,10,12,14,15,20","18, 2, 3, 5, 6, 7, 9,11,13,16,17,19",1200,1800,71.786,110.76,1128.214,1689.24,3000,2817.454,1408.727,8,12,"0,33,54,148.9,213.9,236.9,284.9,301.93,358.93","0,74,127,178,212,229,271,291.5,329.7,378.9,405.7,466.8,553.8"
1,151,8,19,"8, 1, 4, 5, 6, 7,12,16,17,18","19, 2, 3, 9,10,11,13,14,15,20",1500,1500,67.86,94.266,1432.14,1405.734,3000,2837.874,1418.937,10,10,"0,33,54,96,130,147,192,214.4,241.2,267.3,339.3","0,30,83,140,207.1,266.7,304.9,373.9,421.9,438.93,471.33"
1,152,8,20,"8,10,11,13,14,16,17,18","20, 1, 2, 3, 4, 5, 6, 7, 9,12,15,19",1200,1800,78.34,125.518,1121.66,1674.482,3000,2796.142,1398.071,8,12,"0,72.5,132.1,170.3,239.3,266.8,293.6,319.7,391.7","0,79,176,229,296,338,372,389,431,486,546,595.2,627.59"
1,153,9,1,"9,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8,10,11,13,16,17,18",900,2100,57.718,138.08,842.282,1961.92,3000,2804.202,1402.101,6,14,"0,55,78,126,175.2,207.59,288.59","0,97,150,217,259,293,310,370,442.5,502.1,540.3,589.5,616.3,642.4,690.4"
1,154,9,2,"9, 1, 4, 5,11,13,16,17,18","2, 3, 6, 7, 8,10,12,14,15,19,20",1350,1650,62.98,103.218,1287.02,1546.782,3000,2833.802,1416.901,9,11,"0,61,82,124,155.6,193.8,243,269.8,295.9,314.9","0,53,91,108,168,240.5,305.5,328.5,376.5,425.7,458.09,516.09"
1,155,9,3,"9, 1, 2, 6, 7,10,11,13,16,17,18","3, 4, 5, 8,12,14,15,19,20",1650,1350,89.98,76.118,1560.02,1273.882,3000,2833.902,1416.951,11,9,"0,61,158,187,204,231,290.6,328.8,378,404.8,430.9,449.9","0,67,109,176,200,223,271,320.2,352.59,380.59"
1,156,9,4,"9, 1, 2, 3, 5, 6, 7,11,13,14,15,19,20","4, 8,10,12,16,17,18",1950,1050,134.098,60.76,1815.902,989.24,3000,2805.142,1402.571,13,7,"0,61,158,211,262,296,313,352.7,390.9,459.9,507.9,557.1,589.49,670.49","0,54,126.5,191.5,213.9,240.7,266.8,303.8"
1,157,9,5,"9, 1, 2, 3, 4, 8,11,13,18","5, 6, 7,10,12,14,15,16,17,19,20",1350,1650,100.52,97.418,1249.48,1552.582,3000,2802.062,1401.031,9,11,"0,61,158,211,278,332,422,460.2,483.6,502.6","0,34,51,78,143,166,214,288.8,315.6,376.7,409.09,487.09"
1,158,9,6,"9, 1, 2, 3, 4, 5,11,13,14,15,19,20","6, 7, 8,10,12,16,17,18",1800,1200,133.878,67.16,1666.122,1132.84,3000,2798.962,1399.481,12,8,"0,61,158,211,278,320,351.6,389.8,458.8,506.8,556,588.39,669.39","0,17,77,149.5,214.5,236.9,263.7,289.8,335.8"
1,159,9,7,"9,10,11,13,16,17,18","7, 1, 2, 3, 4, 5, 6, 8,12,14,15,19,20",1050,1950,57.2,129.318,992.8,1820.682,3000,2813.482,1406.741,7,13,"0,67.1,126.7,164.9,214.1,240.9,267,286","0,63,160,213,280,322,356,430,454,477,525,574.2,606.59,646.59"
1,160,9,8,"9, 1, 2, 3, 4, 5, 6, 7,10,11,13,16,17,18","8,12,14,15,19,20",2100,900,123.38,46.718,1976.62,853.282,3000,2829.902,1414.951,14,6,"0,61,158,211,278,320,354,371,398,457.6,495.8,545,571.8,597.9,616.9","0,24,47,95,144.2,176.59,233.59"
1,161,9,10,"9, 1, 2, 3, 4, 5, 6, 7, 8,12,16,17,18","10,11,13,14,15,19,20",1950,1050,109.86,64.518,1840.14,985.482,3000,2825.622,1412.811,13,7,"0,61,158,211,278,320,354,371,431,455,477.4,504.2,530.3,549.3","0,59.6,97.8,166.8,214.8,264,296.39,322.59"
1,162,9,11,"9,12,14,15,19,20","11, 1, 2, 3, 4, 5, 6, 7, 8,10,13,16,17,18",900,2100,57.718,150.86,842.282,1949.14,3000,2791.422,1395.711,6,14,"0,55,78,126,175.2,207.59,288.59","0,78,175,228,295,337,371,388,448,520.5,612.5,661.7,688.5,714.6,754.3"
1,163,9,12,"9, 2, 3, 8,11,13,18,19,20","12, 1, 4, 5, 6, 7,10,14,15,16,17",1350,1650,100.598,79.52,1249.402,1570.48,3000,2819.882,1409.941,9,11,"0,56,109,151,241,279.2,302.6,389.6,421.99,502.99","0,21,42,84,118,135,162,204,252,326.8,353.6,397.6"
1,164,9,13,"9, 2, 6, 7,10,11,14,15,19,20","13, 1, 3, 4, 5, 8,12,16,17,18",1500,1500,90.638,84.94,1409.362,1415.06,3000,2824.422,1412.211,10,10,"0,56,85,102,129,188.6,242.6,290.6,339.8,372.19,453.19","0,71,126,193,235,302,326,348.4,375.2,401.3,424.7"
1,165,9,14,"9, 1, 2, 6, 7,10,11,13,16,17,18","14, 3, 4, 5, 8,12,15,19,20",1650,1350,89.98,79.518,1560.02,1270.482,3000,2830.502,1415.251,11,9,"0,61,158,187,204,231,290.6,328.8,378,404.8,430.9,449.9","0,14,81,123,190,214,274,323.2,355.59,397.59"
1,166,9,15,"9, 1, 2, 6, 7,10,11,13,16,17,18","15, 3, 4, 5, 8,12,14,19,20",1650,1350,89.98,72.158,1560.02,1277.842,3000,2837.862,1418.931,11,9,"0,61,158,187,204,231,290.6,328.8,378,404.8,430.9,449.9","0,36,103,145,212,236,259,311.4,343.79,360.79"
1,167,9,16,"9,10,11,13,17,18","16, 1, 2, 3, 4, 5, 6, 7, 8,12,14,15,19,20",900,2100,49.88,128.738,850.12,1971.262,3000,2821.382,1410.691,6,14,"0,67.1,126.7,164.9,204.3,230.4,249.4","0,28,125,178,245,287,321,338,398,422,445,493,542.2,574.59,643.69"
1,168,9,17,"9, 2, 3, 8,11,13,15,19,20","17, 1, 4, 5, 6, 7,10,12,14,16,18",1350,1650,111.758,119.72,1238.242,1530.28,3000,2768.522,1384.261,9,11,"0,56,109,151,241,279.2,396.2,445.4,477.79,558.79","0,55,76,118,152,169,196,261,284,311.5,572.5,598.6"
1,169,9,18,"9, 2, 3, 8,11,13,14,15,19,20","18, 1, 4, 5, 6, 7,10,12,16,17",1500,1500,111.758,65.86,1388.242,1434.14,3000,2822.382,1411.191,10,10,"0,56,109,151,241,279.2,348.2,396.2,445.4,477.79,558.79","0,48,69,111,145,162,189,254,276.4,303.2,329.3"
1,170,9,19,"9, 1, 4, 5,10,11,13,16,17,18","19, 2, 3, 6, 7, 8,12,14,15,20",1500,1500,82.08,68.486,1417.92,1431.514,3000,2849.434,1424.717,10,10,"0,61,82,124,191.5,251.1,289.3,338.5,365.3,391.4,410.4","0,30,83,121,138,198,222,245,293,310.03,342.43"
1,171,9,20,"9,11,13,16,17,18","20, 1, 2, 3, 4, 5, 6, 7, 8,10,12,14,15,19",900,2100,35.96,147.818,864.04,1952.182,3000,2816.222,1408.111,6,14,"0,20.5,58.7,107.9,134.7,160.8,179.8","0,79,176,229,296,338,372,389,449,521.5,586.5,609.5,657.5,706.7,739.09"
1,172,10,1,"10, 2, 3, 8,12,15,19,20","1, 4, 5, 6, 7, 9,11,13,14,16,17,18",1200,1800,63.758,82.42,1136.242,1717.58,3000,2853.822,1426.911,8,12,"0,32,85,127,151,211,260.2,292.59,318.79","0,21,63,97,114,156,176.5,214.7,283.7,311.2,338,364.1,412.1"
1,173,10,2,"10, 1, 4, 5, 6, 7,12,16,17,18","2, 3, 8, 9,11,13,14,15,19,20",1500,1500,79.74,97.658,1420.26,1402.342,3000,2822.602,1411.301,10,10,"0,85,106,148,182,199,244,266.4,293.2,319.3,398.7","0,53,95,173,193.5,231.7,300.7,348.7,397.9,430.29,488.29"
1,174,10,3,"10, 1, 2, 6, 7, 8,12,14,15,17,18","3, 4, 5, 9,11,13,16,19,20",1650,1350,113.26,72.998,1536.74,1277.002,3000,2813.742,1406.871,11,9,"0,85,182,211,228,288,312,335,383,460.8,486.9,566.3","0,67,109,121,141.5,179.7,228.9,304.6,336.99,364.99"
1,175,10,4,"10, 1, 2, 3, 7, 8,12,14,15,19,20","4, 5, 6, 9,11,13,16,17,18",1650,1350,103.758,60.76,1546.242,1289.24,3000,2835.482,1417.741,11,9,"0,85,182,235,256,316,340,363,411,460.2,492.59,518.79","0,42,76,106,126.5,164.7,213.9,240.7,266.8,303.8"
1,176,10,5,"10, 1, 2, 3, 4, 8,12,14,15,16,17,19,20","5, 6, 7, 9,11,13,18",1950,1050,134.458,37.42,1815.542,1012.58,3000,2828.122,1414.061,13,7,"0,85,182,235,302,356,380,403,451,525.8,552.6,613.7,646.09,672.29","0,34,51,93,113.5,151.7,175.1,187.1"
1,177,10,6,"10, 1, 2, 3, 4, 5, 7, 8,19,20","6, 9,11,12,13,14,15,16,17,18",1500,1500,117.158,96.16,1382.842,1403.84,3000,2786.682,1393.341,10,10,"0,85,182,235,302,344,385,445,527.2,559.59,585.79","0,30,50.5,118.5,190.1,259.1,307.1,381.9,408.7,434.8,480.8"
1,178,10,7,"10, 1, 2, 3, 4, 5, 6,12,16,17,18","7, 8, 9,11,13,14,15,19,20",1650,1350,117.54,87.058,1532.46,1262.942,3000,2795.402,1397.701,11,9,"0,85,182,235,302,344,378,433,455.4,482.2,508.3,587.7","0,60,138,158.5,196.7,265.7,313.7,362.9,395.29,435.29"
1,179,10,8,"10, 2, 3, 5, 6, 7, 9,11,13,16,17,18,19","8, 1, 4,12,14,15,20",1950,1050,97.36,47.206,1852.64,1002.794,3000,2855.434,1427.717,13,7,"0,32,85,136,170,187,229,249.5,287.7,336.9,363.7,389.8,476.8,486.8","0,33,54,91,114,162,179.03,236.03"
1,180,10,9,"10,12,14,15,19,20","9, 1, 2, 3, 4, 5, 6, 7, 8,11,13,16,17,18",900,2100,48.758,136.06,851.242,1963.94,3000,2815.182,1407.591,6,14,"0,65,88,136,185.2,217.59,243.79","0,61,158,211,278,320,354,371,431,521,559.2,608.4,635.2,661.3,680.3"
1,181,10,11,"10,14,15,19,20","11, 1, 2, 3, 4, 5, 6, 7, 8, 9,12,13,16,17,18",750,2250,39.558,158.88,710.442,2091.12,3000,2801.562,1400.781,5,15,"0,42,90,139.2,171.59,197.79","0,78,175,228,295,337,371,388,448,526,581,652.6,701.8,728.6,754.7,794.4"
1,182,10,12,"10, 2, 3, 5, 6, 7, 9,11,13,14,16,17,18,19","12, 1, 4, 8,15,20",2100,900,106.82,44.806,1993.18,855.194,3000,2848.374,1424.187,14,6,"0,32,85,136,170,187,229,249.5,287.7,356.7,384.2,411,437.1,524.1,534.1","0,21,42,96,148,165.03,224.03"
1,183,10,13,"10, 2, 3, 6, 7, 8,12,14,15,19,20","13, 1, 4, 5, 9,11,16,17,18",1650,1350,80.558,58.68,1569.442,1291.32,3000,2860.762,1430.381,11,9,"0,32,85,123,140,200,224,247,295,344.2,376.59,402.79","0,71,92,134,146,166.5,217.1,243.9,270,293.4"
1,184,10,14,"10, 2, 3, 8,12,15,19,20","14, 1, 4, 5, 6, 7, 9,11,13,16,17,18",1200,1800,63.758,81.76,1136.242,1718.24,3000,2854.482,1427.241,8,12,"0,32,85,127,151,211,260.2,292.59,318.79","0,43,64,106,140,157,199,219.5,257.7,306.9,333.7,359.8,408.8"
1,185,10,15,"10, 1, 4, 5, 6, 7, 9,11,13,16,17,18","15, 2, 3, 8,12,14,19,20",1800,1200,96.24,63.758,1703.76,1136.242,3000,2840.002,1420.001,12,8,"0,85,106,148,182,199,241,261.5,299.7,348.9,375.7,401.8,481.2","0,75,128,170,194,217,269.4,301.79,318.79"
1,186,10,16,"10, 2, 3, 8,11,12,14,15,19,20","16, 1, 4, 5, 6, 7, 9,13,17,18",1500,1500,92.758,60.14,1407.242,1439.86,3000,2847.102,1423.551,10,10,"0,32,85,127,217,285,308,356,405.2,437.59,463.79","0,28,49,91,125,142,184,209.1,248.5,274.6,300.7"
1,187,10,17,"10, 2, 3, 6, 7, 8,12,14,15,19,20","17, 1, 4, 5, 9,11,13,16,18",1650,1350,80.558,105,1569.442,1245,3000,2814.442,1407.221,11,9,"0,32,85,123,140,200,224,247,295,344.2,376.59,402.79","0,55,76,118,130,150.5,188.7,237.9,498.9,525"
1,188,10,18,"10, 1, 4, 8,12,14,15,19,20","18, 2, 3, 5, 6, 7, 9,11,13,16,17",1350,1650,72.558,86.36,1277.442,1563.64,3000,2841.082,1420.541,9,11,"0,85,106,160,184,207,255,304.2,336.59,362.79","0,74,127,178,212,229,271,291.5,329.7,378.9,405.7,431.8"
1,189,10,19,"10, 2, 3, 6, 7, 8,12,14,15","19, 1, 4, 5, 9,11,13,16,17,18,20",1350,1650,67.64,90.394,1282.36,1559.606,3000,2841.966,1420.983,9,11,"0,32,85,123,140,200,224,247,295,338.2","0,95,116,158,170,190.5,228.7,277.9,304.7,330.8,419.57,451.97"
1,190,10,20,"10, 1, 4, 5, 6, 7,12,14,16,17,18","20, 2, 3, 8, 9,11,13,15,19",1650,1350,85.36,97.658,1564.64,1252.342,3000,2816.982,1408.491,11,9,"0,85,106,148,182,199,244,267,294.5,321.3,347.4,426.8","0,58,111,153,231,251.5,289.7,406.7,455.9,488.29"
1,191,11,1,"11, 2, 3, 8, 9,13,14,15,19,20","1, 4, 5, 6, 7,10,12,16,17,18",1500,1500,103.218,65.86,1396.782,1434.14,3000,2830.922,1415.461,10,10,"0,40,93,135,213,238.1,307.1,355.1,404.3,436.69,516.09","0,21,63,97,114,141,206,228.4,255.2,281.3,329.3"
1,192,11,2,"11, 1, 4, 5, 9,10,13,14,15,20","2, 3, 6, 7, 8,12,16,17,18,19",1500,1500,105.106,76.86,1394.894,1423.14,3000,2818.034,1409.017,10,10,"0,78,99,141,153,220.1,312.1,381.1,429.1,446.13,525.53","0,53,91,108,168,192,214.4,241.2,267.3,354.3,384.3"
1,193,11,3,"11, 1, 2, 6, 7, 9,13,16,17,18","3, 4, 5, 8,10,12,14,15,19,20",1500,1500,85.98,98.818,1414.02,1401.182,3000,2815.202,1407.601,10,10,"0,78,175,204,221,263,288.1,337.3,364.1,390.2,429.9","0,67,109,176,248.5,313.5,336.5,384.5,433.7,466.09,494.09"
1,194,11,4,"11, 1, 2, 3, 5, 6, 7, 9,13,14,15,19,20","4, 8,10,12,16,17,18",1950,1050,135.018,60.76,1814.982,989.24,3000,2804.222,1402.111,13,7,"0,78,175,228,279,313,330,372,397.1,466.1,514.1,563.3,595.69,675.09","0,54,126.5,191.5,213.9,240.7,266.8,303.8"
1,195,11,5,"11, 1, 2, 3, 4, 8, 9,13,16,17,18","5, 6, 7,10,12,14,15,19,20",1650,1350,118.78,74.718,1531.22,1275.282,3000,2806.502,1403.251,11,9,"0,78,175,228,295,349,427,452.1,501.3,528.1,554.2,593.9","0,34,51,78,143,166,214,263.2,295.59,373.59"
1,196,11,6,"11, 1, 2, 3, 4, 5, 8,10,13,14,15,16,17,18,19,20","6, 7, 9,12",2400,600,202.398,33.8,2197.602,566.2,3000,2763.802,1381.901,16,4,"0,78,175,228,295,337,404,476.5,568.5,637.5,685.5,760.3,787.1,813.2,900.2,932.59,1011.99","0,17,59,114,169"
1,197,11,7,"11, 1, 2, 3, 4, 5, 6, 9,13,16,17,18","7, 8,10,12,14,15,19,20",1800,1200,113.58,78.018,1686.42,1121.982,3000,2808.402,1404.201,12,8,"0,78,175,228,295,337,371,401,426.1,475.3,502.1,528.2,567.9","0,60,132.5,197.5,220.5,268.5,317.7,350.09,390.09"
1,198,11,8,"11, 1, 2, 3, 4, 5, 6, 7, 9,10,13,16,17,18","8,12,14,15,19,20",2100,900,146.18,46.718,1953.82,853.282,3000,2807.102,1403.551,14,6,"0,78,175,228,295,337,371,388,430,497.1,589.1,638.3,665.1,691.2,730.9","0,24,47,95,144.2,176.59,233.59"
1,199,11,9,"11, 1, 2, 3, 4, 5, 6, 7, 8,10,12,14,15,16,17","9,13,18,19,20",2250,750,156.48,49.778,2093.52,700.222,3000,2793.742,1396.871,15,5,"0,78,175,228,295,337,371,388,448,520.5,585.5,608.5,656.5,731.3,758.1,782.4","0,25.1,48.5,135.5,167.89,248.89"
1,200,11,10,"11, 1, 4, 5, 9,13,16,17,18","10, 2, 3, 6, 7, 8,12,14,15,19,20",1350,1650,63.98,80.558,1286.02,1569.442,3000,2855.462,1427.731,9,11,"0,78,99,141,153,178.1,227.3,254.1,280.2,319.9","0,32,85,123,140,200,224,247,295,344.2,376.59,402.79"
1,201,11,12,"11, 2, 3, 8, 9,13,16,17,18,19","12, 1, 4, 5, 6, 7,10,14,15,20",1500,1500,98.14,65.606,1401.86,1434.394,3000,2836.254,1418.127,10,10,"0,40,93,135,213,238.1,287.3,314.1,340.2,427.2,490.7","0,21,42,84,118,135,162,204,252,269.03,328.03"
1,202,11,13,"11, 2, 3, 8,10,12,16,17,18,19","13, 1, 4, 5, 6, 7, 9,14,15,20",1500,1500,99.66,89.006,1400.34,1410.994,3000,2811.334,1405.667,10,10,"0,40,93,135,207.5,272.5,294.9,321.7,347.8,434.8,498.3","0,71,92,134,168,185,227,274,322,339.03,445.03"
1,203,11,14,"11, 1, 4, 5, 6, 7, 9,13,16,17,18","14, 2, 3, 8,10,12,15,19,20",1650,1350,80.18,94.818,1569.82,1255.182,3000,2825.002,1412.501,11,9,"0,78,99,141,175,192,234,259.1,308.3,335.1,361.2,400.9","0,58,111,153,225.5,290.5,350.5,399.7,432.09,474.09"
1,204,11,15,"11, 1, 4, 5, 9,10,13,16,17,18","15, 2, 3, 6, 7, 8,12,14,19,20",1500,1500,90.78,78.358,1409.22,1421.642,3000,2830.862,1415.431,10,10,"0,78,99,141,153,220.1,312.1,361.3,388.1,414.2,453.9","0,75,128,166,183,243,267,290,342.4,374.79,391.79"
1,205,11,16,"11, 1, 4, 5, 9,10,13,18","16, 2, 3, 6, 7, 8,12,14,15,17,19,20",1200,1800,75.04,115.078,1124.96,1684.922,3000,2809.882,1404.941,8,12,"0,78,99,141,153,220.1,312.1,335.5,375.2","0,72,125,163,180,240,264,287,335,412.8,473.9,506.29,575.39"
1,206,11,17,"11, 1, 4, 5, 9,10,13,15,20","17, 2, 3, 6, 7, 8,12,14,16,18,19",1350,1650,105.106,140.12,1244.894,1509.88,3000,2754.774,1377.387,9,11,"0,78,99,141,153,220.1,312.1,429.1,446.13,525.53","0,49,102,140,157,217,241,264,291.5,552.5,639.5,700.6"
1,207,11,18,"11, 2, 3, 5, 6, 7, 9,10,13,16,19,20","18, 1, 4, 8,12,14,15,17",1800,1200,126.558,64.38,1673.442,1135.62,3000,2809.062,1404.531,12,8,"0,40,93,144,178,195,237,304.1,396.1,445.3,521,553.39,632.79","0,48,69,123,147,170,218,295.8,321.9"
1,208,11,19,"11, 1, 4, 5, 9,10,13,14,15,20","19, 2, 3, 6, 7, 8,12,16,17,18",1500,1500,105.106,76.86,1394.894,1423.14,3000,2818.034,1409.017,10,10,"0,78,99,141,153,220.1,312.1,381.1,429.1,446.13,525.53","0,30,83,121,138,198,222,244.4,271.2,297.3,384.3"
1,209,11,20,"11, 2, 3, 8, 9,13,16,17,18,19","20, 1, 4, 5, 6, 7,10,12,14,15",1500,1500,98.14,74.606,1401.86,1425.394,3000,2827.254,1413.627,10,10,"0,40,93,135,213,238.1,287.3,314.1,340.2,427.2,490.7","0,79,100,142,176,193,220,285,308,356,373.03"
1,210,12,1,"12, 2, 3, 6, 7, 8,14,15,19,20","1, 4, 5, 9,10,11,13,16,17,18",1500,1500,94.918,78,1405.082,1422,3000,2827.082,1413.541,10,10,"0,80,133,171,188,248,286,334,383.2,415.59,474.59","0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390"
1,211,12,2,"12, 1, 4, 5, 6, 7,10,16,17,18","2, 3, 8, 9,11,13,14,15,19,20",1500,1500,65.88,97.658,1434.12,1402.342,3000,2836.462,1418.231,10,10,"0,21,42,84,118,135,162,228.5,255.3,281.4,329.4","0,53,95,173,193.5,231.7,300.7,348.7,397.9,430.29,488.29"
1,212,12,3,"12, 1, 2, 7,10,16,17,18","3, 4, 5, 6, 8, 9,11,13,14,15,19,20",1200,1800,69.48,116.058,1130.52,1683.942,3000,2814.462,1407.231,8,12,"0,21,118,153,180,246.5,273.3,299.4,347.4","0,67,109,143,217,295,315.5,353.7,422.7,470.7,519.9,552.29,580.29"
1,213,12,4,"12, 1, 2, 3, 8,10,16,17,18","4, 5, 6, 7, 9,11,13,14,15,19,20",1350,1650,90.58,97.258,1259.42,1552.742,3000,2812.162,1406.081,9,11,"0,21,118,171,213,285.5,352,378.8,404.9,452.9","0,42,76,93,135,155.5,193.7,262.7,310.7,359.9,392.29,486.29"
1,214,12,5,"12, 1, 2, 3, 4, 6, 7, 8,10,16,17,18","5, 9,11,13,14,15,19,20",1800,1200,125.38,69.458,1674.62,1130.542,3000,2805.162,1402.581,12,8,"0,21,118,171,238,310,327,387,459.5,526,552.8,578.9,626.9","0,12,32.5,70.7,139.7,187.7,236.9,269.29,347.29"
1,215,12,6,"12, 1, 2, 3, 4, 5, 9,16,17,18","6, 7, 8,10,11,13,14,15,19,20",1500,1500,85.38,100.578,1414.62,1399.422,3000,2814.042,1407.021,10,10,"0,21,118,171,238,280,292,326,352.8,378.9,426.9","0,17,77,149.5,209.1,247.3,316.3,364.3,413.5,445.89,502.89"
